uid,gender,age,buy,student,city,bin_age,bin_buy
0,0,0,0,0,0,0,0
1,0,1,1,1,0,1,1
2,0,2,1,1,0,1,1
3,0,2,1,1,1,1,1
4,0,0,1,0,0,0,1
5,0,3,1,1,0,1,1
6,0,3,0,1,2,1,0
7,0,4,1,1,2,0,1
8,0,4,1,1,3,0,1
9,0,0,0,0,2,0,0
10,0,4,1,1,2,0,1
11,0,3,0,1,1,1,0
12,0,4,0,1,3,0,0
13,0,3,0,1,1,1,0
14,0,4,0,1,3,0,0
15,1,3,0,1,2,1,0
16,0,0,1,1,3,0,1
17,0,4,1,1,2,0,1
18,1,2,0,1,2,1,0
19,0,3,2,1,2,1,1
20,0,4,0,1,0,0,0
21,0,0,0,1,0,0,0
22,0,0,0,1,0,0,0
23,0,0,0,1,0,0,0
24,1,4,1,1,0,0,1
25,0,0,1,0,0,0,1
26,0,0,1,1,0,0,1
27,1,2,1,1,0,1,1
28,0,2,1,1,3,1,1
29,1,0,1,1,0,0,1
30,0,3,1,1,2,1,1
31,0,0,0,1,0,0,0
32,0,3,1,1,2,1,1
33,0,4,0,1,2,0,0
34,0,0,1,1,0,0,1
35,0,0,1,1,0,0,1
36,0,2,1,1,0,1,1
37,0,2,1,1,0,1,1
38,0,0,0,1,3,0,0
39,0,0,1,1,0,0,1
40,1,5,0,1,0,0,0
41,0,0,0,1,1,0,0
42,1,2,1,1,3,1,1
43,0,3,1,1,0,1,1
44,1,3,1,1,0,1,1
45,0,0,0,0,2,0,0
46,0,4,1,0,0,0,1
47,0,3,1,1,3,1,1
48,0,0,1,1,0,0,1
49,0,0,0,1,3,0,0
50,0,3,0,1,2,1,0
51,0,2,1,1,3,1,1
52,0,3,0,1,2,1,0
53,0,4,1,1,2,0,1
54,0,0,1,1,2,0,1
55,1,5,0,1,3,0,0
56,0,4,0,1,3,0,0
57,0,4,0,1,0,0,0
58,0,4,0,1,0,0,0
59,0,0,2,1,0,0,1
60,1,0,1,1,0,0,1
61,0,0,0,0,0,0,0
62,0,2,2,1,0,1,1
63,0,3,1,1,0,1,1
64,0,0,0,1,2,0,0
65,0,0,1,1,2,0,1
66,1,0,1,1,0,0,1
67,0,4,1,1,0,0,1
68,1,3,0,1,2,1,0
69,0,0,0,1,0,0,0
70,0,3,1,1,0,1,1
71,0,3,0,1,0,1,0
72,1,2,0,1,3,1,0
73,1,2,2,1,3,1,1
74,1,0,0,1,2,0,0
75,0,0,0,1,1,0,0
76,0,4,1,1,1,0,1
77,0,3,1,1,0,1,1
78,1,0,0,1,0,0,0
79,1,4,0,1,0,0,0
80,0,4,0,1,2,0,0
81,0,0,1,1,3,0,1
82,0,4,1,1,1,0,1
83,0,2,1,1,0,1,1
84,1,4,0,1,2,0,0
